City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
159,Novyy Urengoy,RU,66.08,76.63,32.34,96,98,10.89,overcast clouds,0.0,0.0
160,Barra Patuca,HN,15.8,-84.28,81.3,78,26,19.17,scattered clouds,0.0,0.0
161,Constitucion,CL,-35.33,-72.42,56.53,67,96,9.28,overcast clouds,0.0,0.0
162,Bentiu,SS,9.23,29.83,78.62,46,100,5.3,overcast clouds,0.0,0.0
163,Atyrau,KZ,47.12,51.88,46.4,47,0,11.18,clear sky,0.0,0.0
164,Vung Tau,VN,10.35,107.08,86.09,64,8,9.08,clear sky,0.0,0.0
165,Barabash,RU,43.2,131.48,48.2,70,75,2.24,light intensity shower rain,0.0,0.0
166,Akdepe,TM,42.06,59.38,60.8,47,84,4.7,broken clouds,0.0,0.0
167,Ruidoso,US,33.33,-105.67,55.4,22,1,12.75,clear sky,0.0,0.0
168,Kaitangata,NZ,-46.28,169.85,57.99,43,79,17.0,broken clouds,0.0,0.0
169,Alvorada,BR,-12.48,-49.12,73.94,86,100,3.8,light rain,1.64,0.0
170,San Quintin,MX,30.48,-115.95,59.58,74,79,18.79,broken clouds,0.0,0.0
171,Saskylakh,RU,71.92,114.08,22.86,95,17,2.73,few clouds,0.0,0.0
172,Necochea,AR,-38.55,-58.74,58.95,77,95,4.83,overcast clouds,0.0,0.0
173,Salalah,OM,17.02,54.09,80.6,74,40,4.7,scattered clouds,0.0,0.0
174,Mahebourg,MU,-20.41,57.7,77.0,83,40,11.41,scattered clouds,0.0,0.0
175,Micheweni,TZ,-4.97,39.83,80.53,78,100,15.43,light rain,1.87,0.0
176,Adrar,MR,20.5,-10.07,72.52,20,0,7.61,clear sky,0.0,0.0
177,Caravelas,BR,-17.71,-39.25,74.89,78,15,13.18,few clouds,0.0,0.0
178,Grand Bend,CA,43.32,-81.75,36.0,66,0,17.0,clear sky,0.0,0.0
179,Marawi,PH,8.0,124.29,82.49,56,97,2.48,light rain,0.81,0.0
180,Dukat,RU,62.55,155.55,3.6,82,100,6.44,light snow,0.0,0.17
181,Airai,TL,-8.93,125.41,72.95,43,32,3.47,scattered clouds,0.0,0.0
182,Ribeira Grande,PT,38.52,-28.7,56.26,58,2,7.27,clear sky,0.0,0.0
183,Sorland,NO,67.67,12.69,41.11,97,100,15.23,light rain,0.53,0.0
184,Yulara,AU,-25.24,130.99,91.4,24,24,11.41,few clouds,0.0,0.0
185,Uruzgan,AF,32.83,66.0,52.45,35,0,2.48,clear sky,0.0,0.0
186,Shirokiy,RU,49.76,129.52,35.38,84,100,6.51,light rain,1.33,0.0
187,Bathsheba,BB,13.22,-59.52,80.6,69,20,16.11,few clouds,0.0,0.0
188,Norman Wells,CA,65.28,-126.83,28.4,74,90,3.36,light snow,0.0,0.0
189,Konispol,AL,39.66,20.18,57.99,87,96,2.3,overcast clouds,0.0,0.0
190,Kakinada,IN,16.93,82.22,84.74,73,17,7.67,few clouds,0.0,0.0
191,Wajima,JP,37.4,136.9,55.4,93,75,10.29,broken clouds,0.0,0.0
192,Vostok,RU,46.49,135.88,47.57,39,100,9.64,overcast clouds,0.0,0.0
193,Alice Springs,AU,-23.7,133.88,95.0,17,53,14.99,broken clouds,0.0,0.0
194,Terrak,NO,65.09,12.37,41.0,93,100,4.7,overcast clouds,0.0,0.0
195,Kharp,RU,66.8,65.81,32.04,94,97,2.26,overcast clouds,0.0,0.0
196,Mayor Pablo Lagerenza,PY,-19.93,-60.77,71.92,58,0,4.03,clear sky,0.0,0.0
197,Baykit,RU,61.67,96.37,35.87,75,6,4.72,clear sky,0.0,0.0
