City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Mackenzie,CA,2020-04-19 01:56:48,55.3,-123.17,53.6,34,1,2.24
101,Viedma,AR,2020-04-19 01:56:49,-40.81,-63.0,75.04,34,39,18.21
102,Roebourne,AU,2020-04-19 01:56:53,-20.78,117.13,92.46,34,39,4.81
103,Cherskiy,RU,2020-04-19 01:56:55,68.75,161.3,9.97,91,0,12.28
104,Mkuranga,TZ,2020-04-19 01:56:57,-7.12,39.21,75.2,94,75,2.24
105,Vaini,TO,2020-04-19 01:56:58,-21.2,-175.2,82.4,74,40,9.17
106,Shache,CN,2020-04-19 01:56:59,38.42,77.24,57.9,42,100,9.98
107,Brooks,CA,2020-04-19 01:57:01,50.58,-111.89,43.0,44,68,1.63
108,Roald,NO,2020-04-19 01:57:02,62.58,6.13,37.99,93,28,4.7
109,Vestmannaeyjar,IS,2020-04-19 01:57:03,63.44,-20.27,45.54,95,100,16.64
110,Nikolskoye,RU,2020-04-19 01:57:03,59.7,30.79,37.4,92,90,11.18
111,Port Elizabeth,ZA,2020-04-19 01:53:03,-33.92,25.57,59.0,100,0,2.24
112,Sovetskiy,RU,2020-04-19 01:57:06,61.36,63.58,37.72,82,100,11.45
113,Rabo De Peixe,PT,2020-04-19 01:57:08,37.8,-25.58,62.6,93,75,10.29
114,Mar Del Plata,AR,2020-04-19 01:53:40,-38.0,-57.56,64.99,82,20,10.29
115,Fenelon Falls,CA,2020-04-19 01:57:10,44.53,-78.75,41.0,73,1,8.05
116,Oranjemund,NA,2020-04-19 01:52:45,-28.55,16.43,56.32,84,81,1.45
117,Salalah,OM,2020-04-19 01:52:21,17.02,54.09,80.6,74,40,4.7
118,Chapais,CA,2020-04-19 01:56:56,49.78,-74.85,35.6,55,90,6.93
119,Atambua,ID,2020-04-19 01:57:16,-9.11,124.89,81.99,58,30,2.19
120,Coihueco,CL,2020-04-19 01:57:18,-36.62,-71.83,64.4,77,40,6.93
121,Cockburn Town,TC,2020-04-19 01:57:19,21.46,-71.14,78.35,82,23,14.29
122,Angoram,PG,2020-04-19 01:57:19,-4.06,144.07,89.44,60,74,3.24
123,Asau,RO,2020-04-19 01:57:20,46.43,26.4,41.0,60,90,2.24
124,Xunchang,CN,2020-04-19 01:57:21,28.45,104.72,72.0,51,85,3.33
125,Provideniya,RU,2020-04-19 01:57:22,64.38,-173.3,24.06,95,100,13.4
126,Petropavlovskoye,RU,2020-04-19 01:57:22,52.07,84.11,54.27,55,0,2.73
127,Fairbanks,US,2020-04-19 01:56:24,64.84,-147.72,48.2,87,90,1.66
128,Tramore,IE,2020-04-19 01:57:24,52.16,-7.15,48.0,92,98,4.0
129,Mangrol,IN,2020-04-19 01:57:25,21.12,70.12,83.17,55,80,9.69
130,Hilo,US,2020-04-19 01:53:21,19.73,-155.09,82.4,54,40,10.29
131,Trat,TH,2020-04-19 01:57:28,12.5,102.5,87.39,68,57,3.44
132,Richards Bay,ZA,2020-04-19 01:57:29,-28.78,32.04,71.22,78,30,8.9
133,Souillac,MU,2020-04-19 01:57:30,-20.52,57.52,77.0,78,75,13.87
134,Ribeira Grande,PT,2020-04-19 01:57:34,38.52,-28.7,60.85,72,68,21.07
135,Thompson,CA,2020-04-19 01:53:32,55.74,-97.86,15.8,40,20,10.29
136,Atescatempa,GT,2020-04-19 01:57:37,14.17,-89.74,74.75,63,24,2.44
137,Haines Junction,CA,2020-04-19 01:57:38,60.75,-137.51,46.85,48,0,1.05
138,Narsaq,GL,2020-04-19 01:57:38,60.92,-46.05,28.4,42,100,12.75
139,Vanderhoof,CA,2020-04-19 01:57:38,54.02,-124.02,45.72,56,98,3.49
140,Aykhal,RU,2020-04-19 01:57:39,66.0,111.5,15.8,40,0,4.47
141,Mahon,ES,2020-04-19 01:54:14,39.89,4.27,62.6,93,100,16.11
142,Vao,NC,2020-04-19 01:57:39,-22.67,167.48,77.14,70,2,8.79
143,Upernavik,GL,2020-04-19 01:57:42,72.79,-56.15,21.63,91,98,12.26
144,Broome,US,2020-04-19 01:56:50,42.25,-75.83,35.6,59,1,4.7
145,Constitucion,CL,2020-04-19 01:53:24,-35.33,-72.42,57.65,87,8,9.62
146,Suluq,LY,2020-04-19 01:57:45,31.67,20.25,58.69,52,10,6.89
147,Bend,US,2020-04-19 01:53:19,44.06,-121.32,48.2,43,20,6.93
148,Aklavik,CA,2020-04-19 01:57:48,68.22,-135.01,23.0,67,90,9.17
149,Teguise,ES,2020-04-19 01:57:50,29.06,-13.56,64.4,68,24,8.05
150,Sitka,US,2020-04-19 01:57:51,57.05,-135.33,53.6,71,20,5.82
151,Taoudenni,ML,2020-04-19 01:57:52,22.68,-3.98,77.27,54,93,6.93
152,North Bend,US,2020-04-19 01:57:54,43.41,-124.22,55.0,76,90,5.82
153,Hualmay,PE,2020-04-19 01:57:54,-11.1,-77.61,69.93,81,9,6.2
154,Maceio,BR,2020-04-19 01:57:55,-9.67,-35.74,79.38,80,100,2.06
155,Padang,ID,2020-04-19 01:57:57,-0.95,100.35,87.76,61,6,1.45
156,Norman Wells,CA,2020-04-19 01:53:34,65.28,-126.83,37.4,86,90,14.99
157,Ponta Delgada,PT,2020-04-19 01:58:01,37.73,-25.67,62.6,93,75,10.29
158,Machali,CL,2020-04-19 01:58:02,-34.18,-70.67,66.58,33,4,2.28
159,Blythe,US,2020-04-19 01:58:04,33.61,-114.6,80.6,21,1,4.7
160,Bilibino,RU,2020-04-19 01:58:06,68.05,166.44,10.71,80,49,6.22
161,Saa,CM,2020-04-19 01:58:08,4.37,11.45,71.22,83,99,3.91
162,Puerto Colombia,CO,2020-04-19 01:58:09,10.99,-74.95,80.6,83,40,6.93
163,Verkhnyaya Inta,RU,2020-04-19 01:58:09,65.98,60.31,32.22,94,98,5.06
164,Cayenne,GF,2020-04-19 01:58:10,4.93,-52.33,78.8,88,90,3.36
165,Preobrazheniye,RU,2020-04-19 01:58:10,42.9,133.91,50.11,54,64,7.27
166,Constantine,DZ,2020-04-19 01:58:14,36.37,6.61,62.6,67,40,6.93
167,Vardo,NO,2020-04-19 01:58:15,70.37,31.11,36.18,83,100,15.28
168,Egvekinot,RU,2020-04-19 01:58:15,66.32,-179.17,9.75,90,100,18.86
169,Mitsamiouli,KM,2020-04-19 01:58:16,-11.38,43.28,82.51,73,100,13.18
170,Itarema,BR,2020-04-19 01:58:16,-2.92,-39.92,76.71,84,4,2.37
171,Hamilton,US,2020-04-19 01:55:05,39.18,-84.53,48.99,61,1,6.93
172,Tuktoyaktuk,CA,2020-04-19 01:58:18,69.45,-133.04,10.4,85,75,8.05
173,Torbay,CA,2020-04-19 01:58:19,47.67,-52.73,30.99,58,5,10.29
174,Butaritari,KI,2020-04-19 01:58:20,3.07,172.79,83.1,79,100,16.6
175,Barrow,US,2020-04-19 01:58:21,71.29,-156.79,8.6,71,1,12.75
176,Leningradskiy,RU,2020-04-19 01:58:22,69.38,178.42,8.6,89,16,8.63
177,Henties Bay,NA,2020-04-19 01:58:23,-22.12,14.28,55.99,96,15,1.99
178,Marawi,PH,2020-04-19 01:58:24,8.0,124.29,84.42,47,99,4.25
179,Morshansk,RU,2020-04-19 01:58:26,53.44,41.81,33.46,87,15,5.95
180,Banes,CU,2020-04-19 01:58:30,20.96,-75.72,78.8,78,28,10.29
181,Lorengau,PG,2020-04-19 01:58:31,-2.02,147.27,84.54,72,5,1.52
182,Jalu,LY,2020-04-19 01:58:32,29.03,21.55,62.94,43,28,7.2
183,Candido De Abreu,BR,2020-04-19 01:53:41,-24.57,-51.33,57.92,77,2,3.09
184,Ponta Do Sol,PT,2020-04-19 01:58:16,32.67,-17.1,57.0,63,4,5.99
185,Gazojak,TM,2020-04-19 01:58:35,41.19,61.4,68.16,28,0,6.13
186,Tasiilaq,GL,2020-04-19 01:58:20,65.61,-37.64,32.0,97,99,20.8
187,Benguela,AO,2020-04-19 01:58:40,-12.58,13.41,77.36,87,96,4.81
188,Dwarka,IN,2020-04-19 01:58:42,22.24,68.97,80.74,80,78,10.07
189,Merauke,ID,2020-04-19 01:55:06,-8.47,140.33,89.87,56,88,5.14
190,Koshurnikovo,RU,2020-04-19 01:58:45,54.17,93.3,46.26,41,0,5.97
191,Sivaki,RU,2020-04-19 01:58:46,52.63,126.75,33.89,76,100,12.77
192,Coquimbo,CL,2020-04-19 01:58:46,-29.95,-71.34,59.0,87,7,3.36
193,Mahebourg,MU,2020-04-19 01:55:22,-20.41,57.7,77.0,78,75,13.87
194,Alekseyevsk,RU,2020-04-19 01:58:46,57.84,108.35,26.33,79,100,10.18
195,Rocha,UY,2020-04-19 01:58:46,-34.48,-54.33,59.18,92,0,6.73
196,Port Moresby,PG,2020-04-19 01:58:48,-9.44,147.18,89.6,62,40,9.17
197,Yulara,AU,2020-04-19 01:58:49,-25.24,130.99,80.6,28,51,5.82
198,Mareeba,AU,2020-04-19 01:58:50,-17.0,145.43,89.01,66,41,1.01
199,Ilek,RU,2020-04-19 01:58:51,51.53,53.38,41.77,65,34,0.92
200,Balikpapan,ID,2020-04-19 01:58:52,-1.27,116.83,84.2,74,40,9.17
201,Ous,RU,2020-04-19 01:58:52,60.91,61.52,38.44,77,91,9.71
202,Bambous Virieux,MU,2020-04-19 01:58:52,-20.34,57.76,77.0,78,75,13.87
203,Dmitriyevka,RU,2020-04-19 01:58:53,54.75,55.33,32.0,71,0,8.95
204,Vypolzovo,RU,2020-04-19 01:58:55,57.88,33.7,32.54,90,100,5.03
205,Gornopravdinsk,RU,2020-04-19 01:58:56,60.05,69.9,44.53,71,96,10.27
206,Amalapuram,IN,2020-04-19 01:58:56,16.58,82.02,87.08,68,42,6.06
207,Labuhan,ID,2020-04-19 01:58:58,-6.88,112.21,87.91,66,77,2.95
208,Tuatapere,NZ,2020-04-19 01:58:59,-46.13,167.68,54.0,70,78,13.0
209,Adre,TD,2020-04-19 01:59:01,13.47,22.2,69.42,19,0,11.88
210,Ilulissat,GL,2020-04-19 01:58:46,69.22,-51.1,24.8,62,100,18.34
211,Goderich,CA,2020-04-19 01:58:53,43.75,-81.72,48.99,61,43,18.99
212,Zagan,PL,2020-04-19 01:59:04,51.62,15.31,42.01,48,97,5.99
213,Ende,ID,2020-04-19 01:59:04,-8.84,121.66,82.74,72,11,3.13
214,Bethel,US,2020-04-19 01:58:35,41.37,-73.41,36.0,80,1,3.36
215,Batman,TR,2020-04-19 01:59:05,37.89,41.13,51.8,93,53,4.7
216,Kahului,US,2020-04-19 01:59:06,20.89,-156.47,82.4,51,20,14.99
217,Baykit,RU,2020-04-19 01:59:07,61.67,96.37,33.22,82,0,2.68
218,Kavaratti,IN,2020-04-19 01:59:10,10.57,72.64,84.16,71,28,4.56
219,Salinas,US,2020-04-19 01:55:13,36.68,-121.66,60.8,62,90,10.29
220,Kirakira,SB,2020-04-19 01:59:13,-10.45,161.92,82.36,77,97,1.66
221,Riyadh,SA,2020-04-19 01:58:42,24.69,46.72,71.6,49,83,10.29
222,Baft,IR,2020-04-19 01:59:17,29.23,56.61,52.14,34,61,8.34
223,Bousso,TD,2020-04-19 01:59:19,10.48,16.71,83.08,24,97,1.19
224,Yeniseysk,RU,2020-04-19 01:59:20,58.45,92.17,38.55,70,0,9.73
225,Camacha,PT,2020-04-19 01:59:21,33.08,-16.33,60.8,72,20,10.29
226,Zaragoza,ES,2020-04-19 01:55:00,41.66,-0.88,59.0,93,75,8.05
227,Parbhani,IN,2020-04-19 01:59:22,19.27,76.78,93.4,18,68,5.46
228,San Juan Bautista,PE,2020-04-19 01:59:23,-14.01,-75.74,69.8,77,0,13.87
229,Winona,US,2020-04-19 01:57:41,43.97,-91.77,59.0,47,90,10.29
